title,authors,description,categories,averageRating,ratingsCount,pageCount,publishedDate,infoLink,query,level,type
Artificial Intelligence,"Stuart Jonathan Russell, Peter Norvig","In this third edition, the authors have updated the treatment of all major areas. A new organizing principle--the representational dimension of atomic, factored, and structured models--has been added. Significant new material has been provided in areas such as partially observable search, contingency planning, hierarchical planning, relational and first-order probability models, regularization and loss functions in machine learning, kernel methods, Web search engines, information extraction, and learning in vision and robotics. The book also includes hundreds of new exercises.",Computers,,,1091.0,2013-07-31,http://books.google.com/books?id=DFJtngEACAAJ&dq=artificial+intelligence&hl=&as_pt=BOOKS&source=gbs_api,artificial intelligence,Advanced,Theory
The Myth of Artificial Intelligence,Erik J. Larson,"“Exposes the vast gap between the actual science underlying AI and the dramatic claims being made for it.” —John Horgan “If you want to know about AI, read this book...It shows how a supposedly futuristic reverence for Artificial Intelligence retards progress when it denigrates our most irreplaceable resource for any future progress: our own human intelligence.” —Peter Thiel Ever since Alan Turing, AI enthusiasts have equated artificial intelligence with human intelligence. A computer scientist working at the forefront of natural language processing, Erik Larson takes us on a tour of the landscape of AI to reveal why this is a profound mistake. AI works on inductive reasoning, crunching data sets to predict outcomes. But humans don’t correlate data sets. We make conjectures, informed by context and experience. And we haven’t a clue how to program that kind of intuitive reasoning, which lies at the heart of common sense. Futurists insist AI will soon eclipse the capacities of the most gifted mind, but Larson shows how far we are from superintelligence—and what it would take to get there. “Larson worries that we’re making two mistakes at once, defining human intelligence down while overestimating what AI is likely to achieve...Another concern is learned passivity: our tendency to assume that AI will solve problems and our failure, as a result, to cultivate human ingenuity.” —David A. Shaywitz, Wall Street Journal “A convincing case that artificial general intelligence—machine-based intelligence that matches our own—is beyond the capacity of algorithmic machine learning because there is a mismatch between how humans and machines know what they know.” —Sue Halpern, New York Review of Books",Computers,,,321.0,2021-04-06,http://books.google.com/books?id=GzQXEAAAQBAJ&dq=artificial+intelligence&hl=&as_pt=BOOKS&source=gbs_api,artificial intelligence,Beginner,Theory
Affect and Artificial Intelligence,Elizabeth A. Wilson,"In 1950, Alan Turing, the British mathematician, cryptographer, and computer pioneer, looked to the future: now that the conceptual and technical parameters for electronic brains had been established, what kind of intelligence could be built? Should machine intelligence mimic the abstract thinking of a chess player or should it be more like the developing mind of a child? Should an intelligent agent only think, or should it also learn, feel, and grow? Affect and Artificial Intelligence is the first in-depth analysis of affect and intersubjectivity in the computational sciences. Elizabeth Wilson makes use of archival and unpublished material from the early years of AI (1945–70) until the present to show that early researchers were more engaged with questions of emotion than many commentators have assumed. She documents how affectivity was managed in the canonical works of Walter Pitts in the 1940s and Turing in the 1950s, in projects from the 1960s that injected artificial agents into psychotherapeutic encounters, in chess-playing machines from the 1940s to the present, and in the Kismet (sociable robotics) project at MIT in the 1990s.",Computers,,,197.0,2011-03-01,https://play.google.com/store/books/details?id=Kf_ohc2z3BUC&source=gbs_api,artificial intelligence,Advanced,Theory
The Promise of Artificial Intelligence,Brian Cantwell Smith,"An argument that—despite dramatic advances in the field—artificial intelligence is nowhere near developing systems that are genuinely intelligent. In this provocative book, Brian Cantwell Smith argues that artificial intelligence is nowhere near developing systems that are genuinely intelligent. Second wave AI, machine learning, even visions of third-wave AI: none will lead to human-level intelligence and judgment, which have been honed over millennia. Recent advances in AI may be of epochal significance, but human intelligence is of a different order than even the most powerful calculative ability enabled by new computational capacities. Smith calls this AI ability “reckoning,” and argues that it does not lead to full human judgment—dispassionate, deliberative thought grounded in ethical commitment and responsible action. Taking judgment as the ultimate goal of intelligence, Smith examines the history of AI from its first-wave origins (“good old-fashioned AI,” or GOFAI) to such celebrated second-wave approaches as machine learning, paying particular attention to recent advances that have led to excitement, anxiety, and debate. He considers each AI technology's underlying assumptions, the conceptions of intelligence targeted at each stage, and the successes achieved so far. Smith unpacks the notion of intelligence itself—what sort humans have, and what sort AI aims at. Smith worries that, impressed by AI's reckoning prowess, we will shift our expectations of human intelligence. What we should do, he argues, is learn to use AI for the reckoning tasks at which it excels while we strengthen our commitment to judgment, ethics, and the world.",Computers,,,179.0,2019-10-08,https://play.google.com/store/books/details?id=uemvDwAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Theory
Artificial Intelligence,Blay Whitby,"Introduces artificial intelligence, what it can do, myths about it, and ways it may expand in the future.",Business & Economics,,,161.0,2009-01-15,http://books.google.com/books?id=oBK6mi7xBlIC&dq=artificial+intelligence&hl=&as_pt=BOOKS&source=gbs_api,artificial intelligence,Beginner,Theory
A Citizen's Guide to Artificial Intelligence,John Zerilli,"A concise but informative overview of AI ethics and policy. Artificial intelligence, or AI for short, has generated a staggering amount of hype in the past several years. Is it the game-changer it's been cracked up to be? If so, how is it changing the game? How is it likely to affect us as customers, tenants, aspiring home-owners, students, educators, patients, clients, prison inmates, members of ethnic and sexual minorities, voters in liberal democracies? This book offers a concise overview of moral, political, legal and economic implications of AI. It covers the basics of AI's latest permutation, machine learning, and considers issues including transparency, bias, liability, privacy, and regulation.",Computers,,,233.0,2021-02-23,http://books.google.com/books?id=myAXEAAAQBAJ&dq=artificial+intelligence&hl=&as_pt=BOOKS&source=gbs_api,artificial intelligence,Beginner,Theory
The Economics of Artificial Intelligence,"Ajay Agrawal, Joshua Gans, Avi Goldfarb, Catherine Tucker","A timely investigation of the potential economic effects, both realized and unrealized, of artificial intelligence within the United States healthcare system. In sweeping conversations about the impact of artificial intelligence on many sectors of the economy, healthcare has received relatively little attention. Yet it seems unlikely that an industry that represents nearly one-fifth of the economy could escape the efficiency and cost-driven disruptions of AI. The Economics of Artificial Intelligence: Health Care Challenges brings together contributions from health economists, physicians, philosophers, and scholars in law, public health, and machine learning to identify the primary barriers to entry of AI in the healthcare sector. Across original papers and in wide-ranging responses, the contributors analyze barriers of four types: incentives, management, data availability, and regulation. They also suggest that AI has the potential to improve outcomes and lower costs. Understanding both the benefits of and barriers to AI adoption is essential for designing policies that will affect the evolution of the healthcare system.",Business & Economics,,,172.0,2024-03-05,https://play.google.com/store/books/details?id=IOzwEAAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Theory
Artificial Intelligence,Melanie Mitchell,"“After reading Mitchell’s guide, you’ll know what you don’t know and what other people don’t know, even though they claim to know it. And that’s invaluable.” —The New York Times A leading computer scientist brings human sense to the AI bubble. No recent scientific enterprise has proved as alluring, terrifying, and filled with extravagant promise and frustrating setbacks as artificial intelligence. The award-winning author Melanie Mitchell, a leading computer scientist, now reveals AI’s turbulent history and the recent spate of apparent successes, grand hopes, and emerging fears surrounding it. In Artificial Intelligence, Mitchell turns to the most urgent questions concerning AI today: How intelligent—really—are the best AI programs? How do they work? What can they actually do, and when do they fail? How humanlike do we expect them to become, and how soon do we need to worry about them surpassing us? Along the way, she introduces the dominant models of modern AI and machine learning, describing cutting-edge AI programs, their human inventors, and the historical lines of thought underpinning recent achievements. She meets with fellow experts such as Douglas Hofstadter, the cognitive scientist and Pulitzer Prize–winning author of the modern classic Gödel, Escher, Bach, who explains why he is “terrified” about the future of AI. She explores the profound disconnect between the hype and the actual achievements in AI, providing a clear sense of what the field has accomplished and how much further it has to go. Interweaving stories about the science of AI and the people behind it, Artificial Intelligence brims with clear-sighted, captivating, and accessible accounts of the most interesting and provocative modern work in the field, flavored with Mitchell’s humor and personal observations. This frank, lively book is an indispensable guide to understanding today’s AI, its quest for “human-level” intelligence, and its impact on the future for us all.",Computers,,,216.0,2019-10-15,https://play.google.com/store/books/details?id=65iEDwAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Theory
Artificial Intelligence For Dummies,"John Paul Mueller, Luca Massaron","Step into the future with AI The term ""Artificial Intelligence"" has been around since the 1950s, but a lot has changed since then. Today, AI is referenced in the news, books, movies, and TV shows, and the exact definition is often misinterpreted. Artificial Intelligence For Dummies provides a clear introduction to AI and how it’s being used today. Inside, you’ll get a clear overview of the technology, the common misconceptions surrounding it, and a fascinating look at its applications in everything from self-driving cars and drones to its contributions in the medical field. Learn about what AI has contributed to society Explore uses for AI in computer applications Discover the limits of what AI can do Find out about the history of AI The world of AI is fascinating—and this hands-on guide makes it more accessible than ever!",Computers,,,60.0,2018-03-16,http://books.google.com/books?id=ixJSDwAAQBAJ&dq=artificial+intelligence&hl=&as_pt=BOOKS&source=gbs_api,artificial intelligence,Beginner,Theory
Encyclopedia of Artificial Intelligence,"Philip L. Frana, Michael J. Klein","This authoritative reference work will provide readers with a complete overview of artificial intelligence (AI), including its historic development and current status, existing and projected AI applications, and present and potential future impact on the United States and the world. Some people believe that artificial intelligence (AI) will revolutionize modern life in ways that improve human existence. Others say that the promise of AI is overblown. Still others contend that AI applications could pose a grave threat to the economic security of millions of people by taking their jobs and otherwise rendering them ""obsolete""-or, even worse, that AI could actually spell the end of the human race. This volume will help users understand the reasons AI development has both spirited defenders and alarmed critics; explain theories and innovations like Moore's Law, mindcloning, and Technological Singularity that drive AI research and debate; and give readers the information they need to make their own informed judgment about the promise and peril of this technology. All of this coverage is presented using language and terminology accessible to a lay audience.",Technology & Engineering,,,506.0,2021-04-07,https://play.google.com/store/books/details?id=ywXHEAAAQBAJ&source=gbs_api,artificial intelligence,Beginner,Theory
